"period","conso_d","conso_nd","conso_s","gdp","defgdp","inves","definves","loans_nfc","loans_hh","houseprice","hours","wage","longrate","pop","shortrate","riskrate","networth"
2013-04-01,1081462,2463711,8322630,17709671,94.461,2882489,96.453,11074.043,13570.323,110.6029,92.374,90.262,1.99666666666667,202249.195233116,0.116666666666667,4.84,67.92
2013-07-01,1091328,2482654,8339892,17860450,94.924,2998991,96.444,11255.589,13628.826,113.3749,92.886,90.056,2.71,202478.61631351,0.0833333333333333,5.4,71.4
2013-10-01,1102516,2506699,8408917,18016147,95.426,3027805,96.911,11365.088,13802.55,115.577,93.164,90.732,2.74666666666667,202718.745799877,0.0866666666666667,5.36,75.87
2014-01-01,1120977,2514711,8423166,17953974,95.788,2998148,97.486,11552.897,13791.406,117.056,93.657,92.474,2.76333333333333,202643.632865994,0.0733333333333333,5.12,79.29
2014-04-01,1162828,2540347,8466519,18185911,96.33,3121321,98.006,11723.225,13855.536,117.838,94.424,91.988,2.62333333333333,202927.128064243,0.0933333333333333,4.82,82.11
2014-07-01,1182991,2561827,8544267,18406941,96.726,3193152,98.4,11904.065,13841.721,119.4033,95.154,92.518,2.49666666666667,203140.410913183,0.09,4.74,85.51
2014-10-01,1205849,2592382,8631179,18500031,96.822,3203351,99.022,12134.783,13906.771,121.2279,96.244,93.483,2.28,203353.272856264,0.1,4.74,87.04
2015-01-01,1228897,2618169,8675782,18666621,96.769,3314895,99.016,12357.754,13880.878,122.749,96.544,94.56,1.96666666666667,203923.612914395,0.11,4.5,90.22
2015-04-01,1253678,2633975,8719803,18782243,97.325,3328049,98.89,12635.205,14005.173,124.1931,96.94,95.386,2.16666666666667,204203.404301696,0.123333333333333,4.83,92.46
2015-07-01,1270069,2661582,8763402,18857418,97.583,3335270,99.052,12788.477,14121.158,125.9567,96.976,96.049,2.22,204561.758422048,0.136666666666667,5.24,89.45
