"period","gdp","defgdp","conso","defconso","inves","definves","wage","shortrate","employ","hours","pop","loans_nfc","loans_hh","lendingrate","longrate","networth","houseprice"
2008-01-01,2466203.1,97.805,1341536,98.357,565430.1,98.631,1117723.1,4.4763,154273.66,63041391,221654.354538997,8913.576,5684.496,5.32,4.12820873835491,361.787138461538,102.008694799573
2008-04-01,2457316.7,98.394,1338986.5,99.187,557097.6,99.351,1125316.7,4.8593,154243.1,62932092,221747.235852243,9099.221,5781.073,5.49333333333333,4.49660064292245,355.872692307692,102.473816553985
2008-07-01,2445128.8,98.592,1335132.9,99.733,549493.5,99.742,1134407.2,4.9817,154024.57,62685530,221820.797703489,9259.433,5829.968,5.67,4.55644157031129,309.688287878788,102.395848150527
2008-10-01,2400782.4,98.957,1328589,99.167,533187.1,99.446,1133082.8,4.2424,153435.82,62337166,221874.590224045,9275.849,5873.743,5.14666666666667,4.04455257258754,228.687136363636,100.842218084561
2009-01-01,2326390.2,99.378,1321263,98.298,501357.3,99.61,1124073.4,2.0068,152233.01,61248338,221908.78385916,9342.618,5894.616,3.49333333333333,3.88959333099688,200.15728125,99.0449139139532
2009-04-01,2325434.5,99.23,1321869.7,98.277,489449.3,98.821,1120753.7,1.308,151199.52,60661981,221924.267747691,9343.962,5937.29,2.89333333333333,3.96008464638861,220.4968,97.8297482548294
2009-07-01,2334582.3,99.272,1321441.4,98.414,486118.8,98.907,1123434.6,0.8709,150613.93,60378840,221922.396726082,9291.23,5957.178,2.61666666666667,3.77337330153203,247.219515151515,97.9910821027805
2009-10-01,2345625.1,99.476,1323963.1,98.805,486538.5,98.887,1128441.3,0.722,150300.13,60213663,221904.951900936,9299.314,5996.411,2.56333333333333,3.65555418802332,268.113353846154,98.0347862995083
2010-01-01,2354769.5,99.645,1327522.8,99.32,480976.5,99.588,1131735.5,0.6613,150229.3,60261126,221874.075380903,9347.522,6008.503,2.39666666666667,3.6965869242731,267.964047619048,97.77479967396
2010-04-01,2377565.8,99.757,1331009,99.746,491447.1,99.892,1139607,0.6876,150114.91,60418787,221832.618179693,9444.395,6052.153,2.43,3.59979523130511,261.098253968254,98.8049665029425
2010-07-01,2388134.2,100.206,1334051,100.22,491269.3,99.942,1144229.6,0.8749,150197.31,60359186,221783.165513904,9438.629,6072.613,2.60666666666667,3.44269041335938,259.539863636364,99.6256642250401
2010-10-01,2402463.5,100.384,1340376.2,100.706,491051.3,100.57,1150942.1,1.0208,150455.99,60398194,221728.033401272,9583.795,6122.203,2.78666666666667,3.74270035475916,273.435106060606,99.937911463715
2011-01-01,2423116.6,100.633,1339848.5,101.474,498303.9,101.161,1159794.3,1.0958,150528.8,60799626,221669.346381086,9573.288,6123.413,2.90666666666667,4.30445554737065,285.451453125,99.6825382614418
2011-04-01,2423232.9,100.874,1333278.4,102.125,497909.9,101.347,1166692.8,1.4159,150716.59,60572846,221609.16559676,9678.512,6173.293,3.16666666666667,4.49433249726452,281.18519047619,100.237705474742
2011-07-01,2426592.2,101.188,1334747.8,102.423,498128.1,101.567,1168973.4,1.5614,150529.63,60500751,221549.222350219,9715.205,6190.512,3.28,4.2734942405652,235.967818181818,100.702068727058
2011-10-01,2416675.2,101.551,1329454,102.928,495577.8,101.904,1172670.5,1.4954,150301.29,60337922,221491.01690239,10026.392,6206.396,3.39666666666667,4.47702492919731,222.43084375,99.6302307688344
