"period","pubcons_rpc","pubinves_rpc","salaries_rpc","subs_rpc","dirtax_rpc","indirtax_rpc","tfs_rpc","sce_rpc","scr_rpc","debt_rpc"
2004-04-01,2078.38058715668,332.696068311424,1064.14513874361,138.110224414888,1177.86660251618,1255.57101561843,1636.2537084032,744.45513210967,814.592690284497,28489.0062625778
2004-07-01,2078.26784276483,331.893065030912,1060.55684772232,131.182714558986,1159.17644534542,1269.74540958706,1641.47559475148,747.536104408663,817.990343171495,28692.3271160786
2004-10-01,2079.00043291672,332.759239777357,1062.45155563964,130.084426280385,1171.14015661522,1275.77255768446,1642.43128622987,747.259612268085,817.718763645924,28717.4952769707
2005-01-01,2098.05207984993,336.904054206352,1067.31257484748,129.525970274236,1190.08730696069,1278.15393586452,1645.92923363382,746.341138108842,818.141819372607,28905.3384763909
2005-04-01,2104.62562859807,344.078400012587,1065.87528083884,128.547420938433,1182.77249069671,1300.37662903215,1647.41518670845,749.352479149098,821.883624658902,29077.0817594241
2005-07-01,2112.10805870891,344.756244222643,1070.64206353604,127.616836786118,1219.88403365364,1308.09862139148,1648.74359311873,750.058976750618,823.309095835131,29147.4895168866
2005-10-01,2130.41900784133,340.995495956286,1097.98504980071,126.435712206638,1228.48877678256,1311.13795637428,1648.42773729253,752.856470991249,827.655259451445,29312.3104972366
2006-01-01,2131.15093548973,346.492685268307,1077.01234009212,127.488954860149,1269.64076967052,1334.06706754621,1668.15424226134,758.069829659403,832.945060253762,29355.639734801
2006-04-01,2147.7138037058,350.954051751494,1086.33461188308,128.430571201013,1281.52382525609,1336.60454399238,1651.02102186184,758.637783195559,835.795369506273,29308.2197845745
2006-07-01,2153.70781210016,355.975252489861,1089.86590418074,130.228364276565,1297.15833367482,1344.51122066987,1655.7450335764,762.666868094773,842.608465613393,29397.5001593471
2006-10-01,2167.79630944702,362.183855967445,1086.92806765289,130.570849044845,1332.45069323982,1352.41261992057,1658.56604860166,760.698020881479,843.476161151434,29341.4779783245
2007-01-01,2152.24404734897,363.381729242471,1084.90350677429,129.323877718533,1330.51585649562,1387.84576458706,1658.75759024082,756.060558803885,843.491333542206,29244.1798988643
2007-04-01,2152.31841743953,357.512393612923,1087.369966914,128.8435245342,1380.27315932206,1395.97664710117,1668.45560130844,755.853692495285,847.647915524013,29302.2429970434
2007-07-01,2164.94182349166,363.560776821866,1093.79187844579,128.364720043373,1399.75501322515,1404.86897852617,1646.80762364169,752.180076577398,848.848906859327,29244.7812357312
2007-10-01,2169.51037827811,364.348264813208,1102.73231277845,129.090783056022,1409.12300111532,1413.66667138848,1676.90763016551,750.217527895854,850.155027840316,29130.8076375596
2008-01-01,2191.96500073772,366.514462164561,1108.23158365268,129.741604463605,1416.92576628416,1376.58072706507,1681.31310659671,770.581820794361,855.052082196907,29162.7618884364
2008-04-01,2214.27933428373,373.395210948013,1114.03001336933,130.422681928593,1384.42589169724,1367.96444407535,1688.35637056091,769.510345152586,855.15991573182,29250.9070461047
2008-07-01,2225.51660762444,372.386863241212,1122.5243228876,132.7448064582,1375.0927881769,1347.88868145979,1704.5055648503,768.267832008047,854.710955679161,29638.3727303869
2008-10-01,2242.43932027404,375.141495317778,1129.38174557736,134.480533845795,1335.65253553347,1315.41689440445,1726.25939600601,765.134127848485,852.290381893244,30985.472279772
2009-01-01,2262.73809310921,384.491080070629,1134.98682430128,136.967888340135,1297.90579864622,1294.76855300165,1751.08916336677,763.732212124594,844.427123928391,31750.8248391986
2009-04-01,2284.57861948727,389.643057732926,1145.31988017037,155.99967838882,1207.52071700391,1282.76852276124,1792.09352753454,761.988057812237,842.367334595988,32625.6060048047
2009-07-01,2307.68776503201,389.135022108017,1155.44797753259,156.825338692186,1210.20748492789,1285.56589806659,1813.30560000557,764.517762076987,843.463828851699,33418.8720426428
2009-10-01,2314.01963655158,388.332724609441,1158.55784188889,156.339559347262,1216.71848437642,1306.74670125081,1821.49443969705,765.083737866655,842.347611064182,34063.9802420265
2010-01-01,2313.96962033013,379.115980016395,1156.9093198162,155.82361474783,1233.68939326778,1311.02208810659,1830.69693422948,765.717725326522,844.944715843844,34555.3391853312
2010-04-01,2321.30109599554,373.260362875426,1158.07632224156,155.349493655698,1250.24266169017,1338.81552459826,1827.37926144161,772.791765754804,851.594554224063,35114.840502859
2010-07-01,2314.00182274922,369.328011772309,1152.44326271756,153.200399454384,1247.2788057768,1351.60239305706,1826.51498050487,773.21614675185,851.745429907349,35482.1026420666
2010-10-01,2314.79900995446,362.439089844258,1151.60772800291,151.658710245203,1274.45488205443,1352.5646426964,1829.52777373426,778.404700271324,856.724768547152,36912.2046460629
2011-01-01,2314.1722276478,356.525596390584,1152.93277084228,150.578196210805,1291.04276566931,1379.22113866793,1829.09685292526,785.435724096311,862.530830128838,37323.5388646257
